 issuer_tax_number|reception_number|debtor_tax_number|debtor_name|reception_date|purchase_order_number|net_amount|iva_amount|total_amount|state|invoice_number
911440008|256|731540008|Demo Reception|01/10/2018|234|222576|1842|224418|APROBADO 0|721
911440008|257|731540008|Demo Reception|02/10/2018|234|222856|1992|224848|APROBADO 0|722
911440008|258|731540008|Demo Reception|03/10/2018|234|223136|2142|225278|APROBADO 0|723
911440008|259|731540008|Demo Reception|04/10/2018|234|223416|2292|225708|APROBADO 0|724
911440008|260|731540008|Demo Reception|05/10/2018|234|223696|2442|226138|APROBADO 0|725
911440008|261|731540008|Demo Reception|06/10/2018|234|223976|2592|226568|APROBADO 0|726
911440008|262|731540008|Demo Reception|07/10/2018|234|224256|2742|226998|APROBADO 0|727
911440008|263|731540008|Demo Reception|08/10/2018|234|224536|2892|227428|APROBADO 0|728
911440008|264|731540008|Demo Reception|09/10/2018|234|224816|3042|227858|APROBADO 0|729
911440008|265|731540008|Demo Reception|10/10/2018|234|225096|3192|228288|APROBADO 0|730
911440008|266|731540008|Demo Reception|11/10/2018|234|225376|3342|228718|APROBADO 0|731
911440008|267|731540008|Demo Reception|12/10/2018|234|225656|3492|229148|APROBADO 0|732
